gene1	gene2	protein1	protein2	experimental	database	textmining	combined_score
SoyZH13_01G001600	SoyZH13_01G001800	3847.I1J4A4	3847.A0A0R4J2H1	0	900	0	900
SoyZH13_01G001900	SoyZH13_01G159900	3847.I1J8W6	3847.I1J4A5	727	573	0	878
SoyZH13_01G001900	SoyZH13_02G003200	3847.I1JB61	3847.I1J4A5	624	540	0	819
SoyZH13_01G001900	SoyZH13_02G128200	3847.I1JEZ1	3847.I1J4A5	727	540	506	932
SoyZH13_01G001900	SoyZH13_02G156100	3847.I1JFV5	3847.I1J4A5	663	540	0	838
SoyZH13_01G001900	SoyZH13_02G224900	3847.I1J4A5	3847.I1JHW9	566	540	0	791
SoyZH13_01G001900	SoyZH13_02G250800	3847.I1J4A5	3847.I1JIP3	751	540	0	880
SoyZH13_01G001900	SoyZH13_03G120700	3847.K7KEV0	3847.I1J4A5	659	540	0	836
SoyZH13_01G001900	SoyZH13_03G168200	3847.I1J4A5	3847.K7KFV5	751	883	535	985
SoyZH13_01G001900	SoyZH13_03G172000	3847.I1J4A5	3847.I1JPX2	727	0	0	727
SoyZH13_01G001900	SoyZH13_03G194400	3847.I1J4A5	3847.K7KGC1	565	540	0	791
SoyZH13_01G001900	SoyZH13_04G090500	3847.K7KJ67	3847.I1J4A5	700	540	0	856
SoyZH13_01G001900	SoyZH13_04G123400	3847.I1J4A5	3847.I1JWH5	574	540	0	795
SoyZH13_01G001900	SoyZH13_04G178300	3847.I1JXQ3	3847.I1J4A5	579	540	0	798
SoyZH13_01G001900	SoyZH13_05G037500	3847.I1K017	3847.I1J4A5	659	540	0	836
SoyZH13_01G001900	SoyZH13_05G045000	3847.I1K096	3847.I1J4A5	576	540	0	796
SoyZH13_01G001900	SoyZH13_05G077900	3847.I1J4A5	3847.I1K1V6	727	0	0	727
SoyZH13_01G001900	SoyZH13_05G112100	3847.I1K2U0	3847.I1J4A5	700	540	0	856
SoyZH13_01G001900	SoyZH13_05G223400	3847.I1K5L7	3847.I1J4A5	512	540	0	765
SoyZH13_01G001900	SoyZH13_06G093500	3847.I1K9T1	3847.I1J4A5	700	540	0	856
SoyZH13_01G001900	SoyZH13_06G157800	3847.I1J4A5	3847.K7KVG4	579	540	0	798
SoyZH13_01G001900	SoyZH13_07G087200	3847.I1KIY3	3847.I1J4A5	512	540	0	765
SoyZH13_01G001900	SoyZH13_07G096700	3847.I1KJ56	3847.I1J4A5	576	540	0	796
SoyZH13_01G001900	SoyZH13_07G100800	3847.I1KJ98	3847.I1J4A5	659	540	0	836
