SampleName	Stage	Organ1	Organ1Serial	Organ2	Organ2Serial	Organ3
AB_R2_N1	R2	AxillaryBud	Node1	-	-	-
AB_R2_N2	R2	AxillaryBud	Node2	-	-	-
AB_R2_N3	R2	AxillaryBud	Node3	-	-	-
AB_V5_N1	V5	AxillaryBud	Node1	-	-	-
AB_V5_N2	V5	AxillaryBud	Node2	-	-	-
AB_V5_N3	V5	AxillaryBud	Node3	-	-	-
AB_V5_N4	V5	AxillaryBud	Node4	-	-	-
AB_V5_N5	V5	AxillaryBud	Node5	-	-	-
AB_V5_N6	V5	AxillaryBud	Node6	-	-	-
AB_V7_N1	V7	AxillaryBud	Node1	-	-	-
AB_V7_N10	V7	AxillaryBud	Node10	-	-	-
AB_V7_N2	V7	AxillaryBud	Node2	-	-	-
AB_V7_N3	V7	AxillaryBud	Node3	-	-	-
AB_V7_N4	V7	AxillaryBud	Node4	-	-	-
AB_V7_N5	V7	AxillaryBud	Node5	-	-	-
AB_V7_N6	V7	AxillaryBud	Node6	-	-	-
AB_V7_N7	V7	AxillaryBud	Node7	-	-	-
AB_V7_N8	V7	AxillaryBud	Node8	-	-	-
AB_V7_N9	V7	AxillaryBud	Node9	-	-	-
Bl_R2_N1	R2	Trifoliateleaf	Node1	Blade	-	-
Bl_R2_N10	R2	Trifoliateleaf	Node10	Blade	-	-
Bl_R2_N11	R2	Trifoliateleaf	Node11	Blade	-	-
Bl_R2_N12	R2	Trifoliateleaf	Node12	Blade	-	-
Bl_R2_N2	R2	Trifoliateleaf	Node2	Blade	-	-
Bl_R2_N3	R2	Trifoliateleaf	Node3	Blade	-	-
Bl_R2_N4	R2	Trifoliateleaf	Node4	Blade	-	-
Bl_R2_N5	R2	Trifoliateleaf	Node5	Blade	-	-
Bl_R2_N7	R2	Trifoliateleaf	Node7	Blade	-	-
Bl_R2_N8	R2	Trifoliateleaf	Node8	Blade	-	-
Bl_R2_N9	R2	Trifoliateleaf	Node9	Blade	-	-
Bl_R7_S1	R7	Trifoliateleaf	Stage1	Blade	-	-
Bl_R7_S2	R7	Trifoliateleaf	Stage2	Blade	-	-
Bl_R7_S3	R7	Trifoliateleaf	Stage3	Blade	-	-
Bl_R7_S4	R7	Trifoliateleaf	Stage4	Blade	-	-
Bl_R7_S5	R7	Trifoliateleaf	Stage5	Blade	-	-
Bl_V3_FL_A_Ape	V3	Trifoliateleaf	-	Blade	Folded	Terminalleaf_Apex
Bl_V3_FL_A_Bas	V3	Trifoliateleaf	-	Blade	Folded	Terminalleaf_Base
Bl_V3_FL_A_Mar	V3	Trifoliateleaf	-	Blade	Folded	Terminalleaf_Margin
Bl_V3_FL_A_Mes	V3	Trifoliateleaf	-	Blade	Folded	Terminalleaf_Mesophyll
Bl_V3_FL_A_Mid	V3	Trifoliateleaf	-	Blade	Folded	Terminalleaf_Midrib
Bl_V3_FL_A_Rac	V3	Trifoliateleaf	-	Blade	Folded	Terminalleaf_Rachis
Bl_V3_FL_A_Vei	V3	Trifoliateleaf	-	Blade	Folded	Terminalleaf_Vein
Bl_V3_FL_B_Ape	V3	Trifoliateleaf	-	Blade	Folded	Lateralleaf_Apex
Bl_V3_FL_B_Bas	V3	Trifoliateleaf	-	Blade	Folded	Lateralleaf_Base
Bl_V3_FL_B_Mar	V3	Trifoliateleaf	-	Blade	Folded	Lateralleaf_Margin
Bl_V3_FL_B_Mes	V3	Trifoliateleaf	-	Blade	Folded	Lateralleaf_Mesophyll
Bl_V3_FL_B_Mid	V3	Trifoliateleaf	-	Blade	Folded	Lateralleaf_Midrib
Bl_V3_FL_B_Rac	V3	Trifoliateleaf	-	Blade	Folded	Lateralleaf_Rachis
Bl_V3_FL_B_Vei	V3	Trifoliateleaf	-	Blade	Folded	Lateralleaf_Vein
Bl_V3_N1	V3	Trifoliateleaf	Node1	Blade	-	-
Bl_V3_N2	V3	Trifoliateleaf	Node2	Blade	-	-
Bl_V3_N3	V3	Trifoliateleaf	Node3	Blade	-	-
Bl_V3_N4	V3	Trifoliateleaf	Node4	Blade	-	-
Bl_V3_N5	V3	Trifoliateleaf	Node5	Blade	-	-
Bl_V3_UL_A_Ape	V3	Trifoliateleaf	-	Blade	Unfolded	Terminalleaf_Apex
Bl_V3_UL_A_Bas	V3	Trifoliateleaf	-	Blade	Unfolded	Terminalleaf_Base
Bl_V3_UL_A_Mar	V3	Trifoliateleaf	-	Blade	Unfolded	Terminalleaf_Margin
Bl_V3_UL_A_Mes	V3	Trifoliateleaf	-	Blade	Unfolded	Terminalleaf_Mesophyll
Bl_V3_UL_A_Mid	V3	Trifoliateleaf	-	Blade	Unfolded	Terminalleaf_Midrib
Bl_V3_UL_A_Rac	V3	Trifoliateleaf	-	Blade	Unfolded	Terminalleaf_Rachis
Bl_V3_UL_A_Vei	V3	Trifoliateleaf	-	Blade	Unfolded	Terminalleaf_Vein
Bl_V5_N1	V5	Trifoliateleaf	Node1	Blade	-	-
Bl_V5_N2	V5	Trifoliateleaf	Node2	Blade	-	-
Bl_V5_N3	V5	Trifoliateleaf	Node3	Blade	-	-
Bl_V5_N4	V5	Trifoliateleaf	Node4	Blade	-	-
Bl_V5_N5	V5	Trifoliateleaf	Node5	Blade	-	-
Bl_V5_N6	V5	Trifoliateleaf	Node6	Blade	-	-
Bl_V5_N7	V5	Trifoliateleaf	Node7	Blade	-	-
Bl_V7_N1	V7	Trifoliateleaf	Node1	Blade	-	-
Bl_V7_N10	V7	Trifoliateleaf	Node10	Blade	-	-
Bl_V7_N2	V7	Trifoliateleaf	Node2	Blade	-	-
Bl_V7_N3	V7	Trifoliateleaf	Node3	Blade	-	-
Bl_V7_N4	V7	Trifoliateleaf	Node4	Blade	-	-
Bl_V7_N6	V7	Trifoliateleaf	Node6	Blade	-	-
Bl_V7_N7	V7	Trifoliateleaf	Node7	Blade	-	-
Bl_V7_N8	V7	Trifoliateleaf	Node8	Blade	-	-
Bl_V7_N9	V7	Trifoliateleaf	Node9	Blade	-	-
Co_VC	VC	Cotyledon	-	-	-	-
Co_VE3	VE3	Cotyledon	-	-	-	-
Co_VE4	VE4	Cotyledon	-	-	-	-
Co_VE5	VE5	Cotyledon	-	-	-	-
Co_VE6	VE6	Cotyledon	-	-	-	-
Fl_R2_N10	R2	Flower	Node10	-	-	-
Fl_R2_N11	R2	Flower	Node11	-	-	-
Fl_R2_N12	R2	Flower	Node12	-	-	-
Fl_R2_N13	R2	Flower	Node13	-	-	-
Fl_R2_N14	R2	Flower	Node14	-	-	-
Fl_R2_N4	R2	Flower	Node4	-	-	-
Fl_R2_N5	R2	Flower	Node5	-	-	-
Fl_R2_N6	R2	Flower	Node6	-	-	-
Fl_R2_N7	R2	Flower	Node7	-	-	-
Fl_R2_N8	R2	Flower	Node8	-	-	-
Fl_R2_N9	R2	Flower	Node9	-	-	-
Fl_R2_S1	R2	Flower	Stage1	-	-	-
Fl_R2_S2	R2	Flower	Stage2	-	-	-
Fl_R2_S2_KP	R2	Flower	Stage2	PetalinKeel	-	-
Fl_R2_S2_Pis	R2	Flower	Stage2	Pistil	-	-
Fl_R2_S2_Sep	R2	Flower	Stage2	Sepal	-	-
Fl_R2_S2_SP	R2	Flower	Stage2	StandardPetal	-	-
Fl_R2_S2_Sta	R2	Flower	Stage2	Stamen	-	-
Fl_R2_S2_WP	R2	Flower	Stage2	WingedPetal	-	-
Fl_R2_S3	R2	Flower	Stage3	-	-	-
Fl_R2_S4	R2	Flower	Stage4	-	-	-
Fl_R2_S4_KP	R2	Flower	Stage4	PetalinKeel	-	-
Fl_R2_S4_Pis	R2	Flower	Stage4	Pistil	-	-
Fl_R2_S4_Sep	R2	Flower	Stage4	Sepal	-	-
Fl_R2_S4_SP	R2	Flower	Stage4	StandardPetal	-	-
Fl_R2_S4_Sta	R2	Flower	Stage4	Stamen	-	-
Fl_R2_S4_WP	R2	Flower	Stage4	WingedPetal	-	-
Fl_R2_S5	R2	Flower	Stage5	-	-	-
Fl_R2_S5_KP	R2	Flower	Stage5	PetalinKeel	-	-
Fl_R2_S5_Pis	R2	Flower	Stage5	Pistil	-	-
Fl_R2_S5_Sep	R2	Flower	Stage5	Sepal	-	-
Fl_R2_S5_SP	R2	Flower	Stage5	StandardPetal	-	-
Fl_R2_S5_Sta	R2	Flower	Stage5	Stamen	-	-
Fl_R2_S5_WP	R2	Flower	Stage5	WingedPetal	-	-
Fl_R2_S6	R2	Flower	Stage6	-	-	-
Fl_R2_S7	R2	Flower	Stage7	-	-	-
Hy_VC_HB	VC	Hypocotyl	-	HypocotylBase	-	-
Hy_VE3_HB	VE3	Hypocotyl	-	HypocotylBase	-	-
Hy_VE3_HH	VE3	Hypocotyl	-	HypocotylHook	-	-
Hy_VE4_HB	VE4	Hypocotyl	-	HypocotylBase	-	-
Hy_VE4_HH	VE4	Hypocotyl	-	HypocotylHook	-	-
Hy_VE5_HB	VE5	Hypocotyl	-	HypocotylBase	-	-
Hy_VE5_HH	VE5	Hypocotyl	-	HypocotylHook	-	-
Hy_VE6_HB	VE6	Hypocotyl	-	HypocotylBase	-	-
Hy_VE6_HH	VE6	Hypocotyl	-	HypocotylHook	-	-
IS_VE1	VE1	ImbibitionSeed	-	-	-	-
IS_VE2	VE2	ImbibitionSeed	-	-	-	-
No_V3	V3	Root&Nodule	-	-	-	-
No_V3_Rh_15D	V3	Root&Nodule	-	15daysafterinoculation	-	-
No_V7	V7	Root&Nodule	-	-	-	-
No_VC_Rh_2	VC	Root&Nodule	-	5daysafterinoculation_medium1	-	-
No_VC_Rh_3	VC	Root&Nodule	-	10daysafterinoculation_medium2	-	-
No_VC_Rh_4	VC	Root&Nodule	-	15daysafterinoculation_large	-	-
Pe_R2_N1	R2	Trifoliateleaf	Node1	Petiole	-	-
Pe_R2_N10	R2	Trifoliateleaf	Node10	Petiole	-	-
Pe_R2_N11	R2	Trifoliateleaf	Node11	Petiole	-	-
Pe_R2_N12	R2	Trifoliateleaf	Node12	Petiole	-	-
Pe_R2_N2	R2	Trifoliateleaf	Node2	Petiole	-	-
Pe_R2_N3	R2	Trifoliateleaf	Node3	Petiole	-	-
Pe_R2_N4	R2	Trifoliateleaf	Node4	Petiole	-	-
Pe_R2_N5	R2	Trifoliateleaf	Node5	Petiole	-	-
Pe_R2_N6	R2	Trifoliateleaf	Node6	Petiole	-	-
Pe_R2_N7	R2	Trifoliateleaf	Node7	Petiole	-	-
Pe_R2_N8	R2	Trifoliateleaf	Node8	Petiole	-	-
Pe_R2_N9	R2	Trifoliateleaf	Node9	Petiole	-	-
Pe_V3_N1	V3	Trifoliateleaf	Node1	Petiole	-	-
Pe_V3_N2	V3	Trifoliateleaf	Node2	Petiole	-	-
Pe_V3_N3	V3	Trifoliateleaf	Node3	Petiole	-	-
Pe_V5_N1	V5	Trifoliateleaf	Node1	Petiole	-	-
Pe_V5_N2	V5	Trifoliateleaf	Node2	Petiole	-	-
Pe_V5_N3	V5	Trifoliateleaf	Node3	Petiole	-	-
Pe_V5_N4	V5	Trifoliateleaf	Node4	Petiole	-	-
Pe_V5_N5	V5	Trifoliateleaf	Node5	Petiole	-	-
Pe_V5_N6	V5	Trifoliateleaf	Node6	Petiole	-	-
Pe_V5_N7	V5	Trifoliateleaf	Node7	Petiole	-	-
Pe_V7_N10	V7	Trifoliateleaf	Node10	Petiole	-	-
Pe_V7_N3	V7	Trifoliateleaf	Node3	Petiole	-	-
Pe_V7_N4	V7	Trifoliateleaf	Node4	Petiole	-	-
Pe_V7_N5	V7	Trifoliateleaf	Node5	Petiole	-	-
Pe_V7_N6	V7	Trifoliateleaf	Node6	Petiole	-	-
Pe_V7_N7	V7	Trifoliateleaf	Node7	Petiole	-	-
Pe_V7_N8	V7	Trifoliateleaf	Node8	Petiole	-	-
Pe_V7_N9	V7	Trifoliateleaf	Node9	Petiole	-	-
Po_R3_S1	R3_R8	Pod	Stage1	-	-	-
Po_R3_S10	R3_R8	Pod	Stage10	-	-	-
Po_R3_S12	R3_R8	Pod	Stage12	-	-	-
Po_R3_S13	R3_R8	Pod	Stage13	-	-	-
Po_R3_S14	R3_R8	Pod	Stage14	-	-	-
Po_R3_S15	R3_R8	Pod	Stage15	-	-	-
Po_R3_S16	R3_R8	Pod	Stage16	-	-	-
Po_R3_S17	R3_R8	Pod	Stage17	-	-	-
Po_R3_S18	R3_R8	Pod	Stage18	-	-	-
Po_R3_S2	R3_R8	Pod	Stage2	-	-	-
Po_R3_S3	R3_R8	Pod	Stage3	-	-	-
Po_R3_S4	R3_R8	Pod	Stage4	-	-	-
Po_R3_S5	R3_R8	Pod	Stage5	-	-	-
Po_R3_S6	R3_R8	Pod	Stage6	-	-	-
Po_R3_S7	R3_R8	Pod	Stage7	-	-	-
Po_R3_S8	R3_R8	Pod	Stage8	-	-	-
Po_R3_S9	R3_R8	Pod	Stage9	-	-	-
Ro_R2	R2	Root&Nodule	-	-	-	-
Ro_V3	V3	Root&Nodule	-	-	-	-
Ro_V3_Rh_0H	V3	Root&Nodule	0hourafterinoculation	-	-	-
Ro_V3_Rh_12H	V3	Root&Nodule	12hoursafterinoculation	-	-	-
Ro_V3_Rh_15D	V3	Root&Nodule	15daysafterinoculation	-	-	-
Ro_V3_Rh_24H	V3	Root&Nodule	24hoursafterinoculation	-	-	-
Ro_V3_Rh_36H	V3	Root&Nodule	36hoursafterinoculation	-	-	-
Ro_V3_Rh_48H	V3	Root&Nodule	48hoursafterinoculation	-	-	-
Ro_V5	V5	Root&Nodule	-	-	-	-
Ro_V7	V7	Root&Nodule	-	-	-	-
Ro_VC	VC	Root&Nodule	controlofRhizobiuminoculation	-	-	-
Ro_VC_AR	VC	Root&Nodule	-	AxialRoot	-	-
Ro_VC_LR	VC	Root&Nodule	-	LateralRoot	-	-
Ro_VC_RT	VC	Root&Nodule	-	RootTips	-	-
Ro_VE2_Rad	VE2	Root&Nodule	-	Radicle	-	-
Ro_VE3_RH	VE3	Root&Nodule	-	LateralRootRegion	-	-
Ro_VE3_RT	VE3	Root&Nodule	-	RootTips	-	-
Ro_VE4_RH	VE4	Root&Nodule	-	LateralRootRegion	-	-
Ro_VE4_RT	VE4	Root&Nodule	-	RootTips	-	-
Ro_VE5_RH	VE5	Root&Nodule	-	LateralRootRegion	-	-
Ro_VE5_RT	VE5	Root&Nodule	-	RootTips	-	-
