Gene	mRNA	GN
SoyZH13_01G000020	SoyZH13_01G000020.m1	PURE
SoyZH13_01G001200	SoyZH13_01G001200.m3	11410975
SoyZH13_01G005900	SoyZH13_01G005900.m1	PFK
SoyZH13_01G011800	SoyZH13_01G011800.m1	DAGLA
SoyZH13_01G013500	SoyZH13_01G013500.m1	DAGLA
SoyZH13_01G024900	SoyZH13_01G024900.m1	PFK
SoyZH13_01G028300	SoyZH13_01G028300.m1	MENG
SoyZH13_01G028300	SoyZH13_01G028300.m2	MENG
SoyZH13_01G036300	SoyZH13_01G036300.m1	LOC113858047
SoyZH13_01G058600	SoyZH13_01G058600.m3	FOLP
SoyZH13_01G060404	SoyZH13_01G060404.m2	11427264
SoyZH13_01G060404	SoyZH13_01G060404.m3	11427264
SoyZH13_01G078200	SoyZH13_01G078200.m1	100803783
SoyZH13_01G078200	SoyZH13_01G078200.m2	100803783
SoyZH13_01G080900	SoyZH13_01G080900.m1	100803220
SoyZH13_01G080900	SoyZH13_01G080900.m2	100803220
SoyZH13_01G089701	SoyZH13_01G089701.m1	PURE
SoyZH13_01G105602	SoyZH13_01G105602.m1	LOC107472623
SoyZH13_01G117002	SoyZH13_01G117002.m1	102669362
SoyZH13_01G117002	SoyZH13_01G117002.m2	102669362
SoyZH13_01G122700	SoyZH13_01G122700.m1	PPO
SoyZH13_01G128700	SoyZH13_01G128700.m1	EFTS
SoyZH13_01G136800	SoyZH13_01G136800.m1	PSBD
SoyZH13_01G139300	SoyZH13_01G139300.m2	11406295
SoyZH13_01G139300	SoyZH13_01G139300.m3	11406295
SoyZH13_01G139300	SoyZH13_01G139300.m5	11406295
SoyZH13_01G139300	SoyZH13_01G139300.m6	11406295
SoyZH13_01G139300	SoyZH13_01G139300.m7	11406295
SoyZH13_01G139300	SoyZH13_01G139300.m8	11406295
SoyZH13_01G139300	SoyZH13_01G139300.m9	11406295
SoyZH13_01G168000	SoyZH13_01G168000.m10	11406128
SoyZH13_01G168000	SoyZH13_01G168000.m11	11406128
SoyZH13_01G168000	SoyZH13_01G168000.m2	11406128
SoyZH13_01G168000	SoyZH13_01G168000.m5	11406128
SoyZH13_01G168000	SoyZH13_01G168000.m6	11406128
SoyZH13_01G169600	SoyZH13_01G169600.m1	ZEP
SoyZH13_01G173600	SoyZH13_01G173600.m1	11410589
SoyZH13_01G173600	SoyZH13_01G173600.m2	11410589
SoyZH13_01G188600	SoyZH13_01G188600.m1	11442973
SoyZH13_01G226100	SoyZH13_01G226100.m1	100782165
SoyZH13_01G226100	SoyZH13_01G226100.m2	100782165
SoyZH13_01G226100	SoyZH13_01G226100.m3	100782165
SoyZH13_01G226100	SoyZH13_01G226100.m4	100782165
SoyZH13_02G000004	SoyZH13_02G000004.m1	11419389
SoyZH13_02G000004	SoyZH13_02G000004.m2	11419389
SoyZH13_02G000004	SoyZH13_02G000004.m3	11419389
SoyZH13_02G004000	SoyZH13_02G004000.m1	102581990
SoyZH13_02G004400	SoyZH13_02G004400.m1	LOC106772378
SoyZH13_02G010600	SoyZH13_02G010600.m1	25484746
SoyZH13_02G010600	SoyZH13_02G010600.m2	25484746
SoyZH13_02G010600	SoyZH13_02G010600.m3	25484746
SoyZH13_02G026400	SoyZH13_02G026400.m1	LOC113858047
SoyZH13_02G032100	SoyZH13_02G032100.m1	102586185
SoyZH13_02G032100	SoyZH13_02G032100.m2	102586185
SoyZH13_02G035500	SoyZH13_02G035500.m1	MENG
SoyZH13_02G038400	SoyZH13_02G038400.m1	11430366
SoyZH13_02G038400	SoyZH13_02G038400.m10	11430366
SoyZH13_02G038400	SoyZH13_02G038400.m11	11430366
SoyZH13_02G038400	SoyZH13_02G038400.m12	11430366
SoyZH13_02G038400	SoyZH13_02G038400.m13	11430366
SoyZH13_02G038400	SoyZH13_02G038400.m14	11430366
SoyZH13_02G038400	SoyZH13_02G038400.m15	11430366
SoyZH13_02G038400	SoyZH13_02G038400.m2	11430366
SoyZH13_02G038400	SoyZH13_02G038400.m3	11430366
SoyZH13_02G038400	SoyZH13_02G038400.m4	11430366
SoyZH13_02G038400	SoyZH13_02G038400.m5	11430366
SoyZH13_02G038400	SoyZH13_02G038400.m6	11430366
SoyZH13_02G038400	SoyZH13_02G038400.m7	11430366
SoyZH13_02G038400	SoyZH13_02G038400.m8	11430366
SoyZH13_02G038400	SoyZH13_02G038400.m9	11430366
SoyZH13_02G041400	SoyZH13_02G041400.m1	11445341
SoyZH13_02G045901	SoyZH13_02G045901.m1	F3H
SoyZH13_02G045901	SoyZH13_02G045901.m2	F3H
SoyZH13_02G045901	SoyZH13_02G045901.m3	F3H
SoyZH13_02G045901	SoyZH13_02G045901.m4	F3H
SoyZH13_02G045901	SoyZH13_02G045901.m5	F3H
SoyZH13_02G045901	SoyZH13_02G045901.m6	F3H
SoyZH13_02G052900	SoyZH13_02G052900.m3	LOC108995372
SoyZH13_02G073000	SoyZH13_02G073000.m1	RPSM
SoyZH13_02G073000	SoyZH13_02G073000.m2	RPSM
SoyZH13_02G073000	SoyZH13_02G073000.m3	RPSM
SoyZH13_02G073000	SoyZH13_02G073000.m4	RPSM
SoyZH13_02G073000	SoyZH13_02G073000.m5	RPSM
SoyZH13_02G073000	SoyZH13_02G073000.m6	RPSM
SoyZH13_02G073000	SoyZH13_02G073000.m7	RPSM
SoyZH13_02G073000	SoyZH13_02G073000.m8	RPSM
SoyZH13_02G077100	SoyZH13_02G077100.m1	LSM3
SoyZH13_02G077100	SoyZH13_02G077100.m2	LSM3
SoyZH13_02G077100	SoyZH13_02G077100.m3	LSM3
SoyZH13_02G085600	SoyZH13_02G085600.m1	HSP70
