Gene	mRNA	KEGG
SoyZH13_01G000002	SoyZH13_01G000002.m1	KEGG:R08165
SoyZH13_01G000009	SoyZH13_01G000009.m1	KEGG:R08165
SoyZH13_01G000020	SoyZH13_01G000020.m1	KEGG:R04209
SoyZH13_01G001600	SoyZH13_01G001600.m1	KEGG:R03199;KEGG:R03200
SoyZH13_01G001600	SoyZH13_01G001600.m2	KEGG:R03199;KEGG:R03200
SoyZH13_01G001800	SoyZH13_01G001800.m1	KEGG:R03199
SoyZH13_01G001800	SoyZH13_01G001800.m2	KEGG:R03199;KEGG:R03200
SoyZH13_01G001800	SoyZH13_01G001800.m3	KEGG:R03199
SoyZH13_01G002700	SoyZH13_01G002700.m1	KEGG:R00630
SoyZH13_01G002900	SoyZH13_01G002900.m1	KEGG:R00103
SoyZH13_01G004400	SoyZH13_01G004400.m1	KEGG:R00630
SoyZH13_01G005600	SoyZH13_01G005600.m1	KEGG:R01184
SoyZH13_01G005600	SoyZH13_01G005600.m2	KEGG:R01184
SoyZH13_01G005700	SoyZH13_01G005700.m1	KEGG:R00494
SoyZH13_01G005700	SoyZH13_01G005700.m2	KEGG:R00494
SoyZH13_01G007200	SoyZH13_01G007200.m1	KEGG:R00630
SoyZH13_01G008800	SoyZH13_01G008800.m1	KEGG:R00214;KEGG:R00216
SoyZH13_01G008800	SoyZH13_01G008800.m2	KEGG:R00214;KEGG:R00216
SoyZH13_01G008800	SoyZH13_01G008800.m3	KEGG:R00214;KEGG:R00216
SoyZH13_01G010300	SoyZH13_01G010300.m1	KEGG:R01616
SoyZH13_01G010300	SoyZH13_01G010300.m2	KEGG:R01616
SoyZH13_01G010300	SoyZH13_01G010300.m3	KEGG:R01616
SoyZH13_01G010500	SoyZH13_01G010500.m1	KEGG:R01523
SoyZH13_01G015100	SoyZH13_01G015100.m1	KEGG:R02412
SoyZH13_01G015100	SoyZH13_01G015100.m2	KEGG:R02412
SoyZH13_01G016202	SoyZH13_01G016202.m1	KEGG:R03876
SoyZH13_01G016801	SoyZH13_01G016801.m1	KEGG:R03428
SoyZH13_01G019300	SoyZH13_01G019300.m1	KEGG:R00341
SoyZH13_01G021100	SoyZH13_01G021100.m1	KEGG:R03918;KEGG:R07135
SoyZH13_01G021200	SoyZH13_01G021200.m1	KEGG:R03918
SoyZH13_01G022700	SoyZH13_01G022700.m1	KEGG:R03876
SoyZH13_01G022700	SoyZH13_01G022700.m2	KEGG:R03876
SoyZH13_01G026500	SoyZH13_01G026500.m1	KEGG:R01853;KEGG:R02173;KEGG:R02529;KEGG:R02613
SoyZH13_01G027000	SoyZH13_01G027000.m1	KEGG:R00258
SoyZH13_01G027100	SoyZH13_01G027100.m1	KEGG:R01049
SoyZH13_01G027100	SoyZH13_01G027100.m2	KEGG:R01049
SoyZH13_01G027200	SoyZH13_01G027200.m1	KEGG:R03532
SoyZH13_01G027500	SoyZH13_01G027500.m1	KEGG:R00692
SoyZH13_01G028300	SoyZH13_01G028300.m1	KEGG:R06859
SoyZH13_01G028300	SoyZH13_01G028300.m2	KEGG:R06859
SoyZH13_01G029000	SoyZH13_01G029000.m1	KEGG:R00352
SoyZH13_01G029000	SoyZH13_01G029000.m2	KEGG:R00352
SoyZH13_01G029600	SoyZH13_01G029600.m1	KEGG:R03876
SoyZH13_01G029600	SoyZH13_01G029600.m2	KEGG:R03876
SoyZH13_01G029600	SoyZH13_01G029600.m3	KEGG:R03876
SoyZH13_01G029600	SoyZH13_01G029600.m4	KEGG:R03876
SoyZH13_01G029600	SoyZH13_01G029600.m5	KEGG:R03876
SoyZH13_01G042400	SoyZH13_01G042400.m1	KEGG:R03876
SoyZH13_01G042400	SoyZH13_01G042400.m2	KEGG:R03876
SoyZH13_01G046900	SoyZH13_01G046900.m1	KEGG:R03876
SoyZH13_01G052300	SoyZH13_01G052300.m1	KEGG:R01715
SoyZH13_01G052400	SoyZH13_01G052400.m1	KEGG:R01715
SoyZH13_01G053300	SoyZH13_01G053300.m1	KEGG:R03876
SoyZH13_01G053300	SoyZH13_01G053300.m2	KEGG:R03876
SoyZH13_01G053300	SoyZH13_01G053300.m3	KEGG:R03876
SoyZH13_01G054500	SoyZH13_01G054500.m1	KEGG:R00286
SoyZH13_01G057003	SoyZH13_01G057003.m1	KEGG:R01011
SoyZH13_01G058400	SoyZH13_01G058400.m1	KEGG:R00630;KEGG:R02035
SoyZH13_01G058400	SoyZH13_01G058400.m2	KEGG:R00630;KEGG:R02035
SoyZH13_01G058400	SoyZH13_01G058400.m3	KEGG:R00630;KEGG:R02035
SoyZH13_01G058600	SoyZH13_01G058600.m1	KEGG:R03503
SoyZH13_01G058600	SoyZH13_01G058600.m2	KEGG:R03503
SoyZH13_01G058600	SoyZH13_01G058600.m3	KEGG:R03503
